Region/Country/Area,,Year,Series,Value,Footnotes
145,Western Asia,2005,Arable land (thousand hectares),"42,240",
145,Western Asia,2005,Permanent crops (thousand hectares),"5,377",
145,Western Asia,2005,Forest cover (thousand hectares),"28,451",
145,Western Asia,2005,Arable land (% of total land area),8.8,
145,Western Asia,2005,Permanent crops (% of total land area),1.1,
145,Western Asia,2005,Forest cover (% of total land area),5.9,
145,Western Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),10.23,
145,Western Asia,2010,Land area (thousand hectares),"479,248",
145,Western Asia,2010,Arable land (thousand hectares),"38,091",
145,Western Asia,2010,Permanent crops (thousand hectares),"5,623",
145,Western Asia,2010,Forest cover (thousand hectares),"29,010",
145,Western Asia,2010,Arable land (% of total land area),7.9,
145,Western Asia,2010,Permanent crops (% of total land area),1.2,
145,Western Asia,2010,Forest cover (% of total land area),6.1,
145,Western Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.07,
145,Western Asia,2019,Land area (thousand hectares),"479,220",
145,Western Asia,2019,Arable land (thousand hectares),"37,742",
145,Western Asia,2019,Permanent crops (thousand hectares),"6,249",
145,Western Asia,2019,Forest cover (thousand hectares),"30,098",
145,Western Asia,2019,Arable land (% of total land area),7.9,
145,Western Asia,2019,Permanent crops (% of total land area),1.3,
145,Western Asia,2019,Forest cover (% of total land area),6.3,
145,Western Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),18.41,
145,Western Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),18.41,
150,Europe,2005,Land area (thousand hectares),"2,213,742",
150,Europe,2005,Arable land (thousand hectares),"278,684",
150,Europe,2005,Permanent crops (thousand hectares),"16,099",
150,Europe,2005,Forest cover (thousand hectares),"1,008,125",
150,Europe,2005,Arable land (% of total land area),12.6,
150,Europe,2005,Permanent crops (% of total land area),0.7,
150,Europe,2005,Forest cover (% of total land area),45.5,
150,Europe,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),53.09,
150,Europe,2010,Land area (thousand hectares),"2,213,252",
150,Europe,2010,Arable land (thousand hectares),"274,687",
150,Europe,2010,Permanent crops (thousand hectares),"15,534",
150,Europe,2010,Forest cover (thousand hectares),"1,013,982",
150,Europe,2010,Arable land (% of total land area),12.4,
150,Europe,2010,Permanent crops (% of total land area),0.7,
150,Europe,2010,Forest cover (% of total land area),45.8,
150,Europe,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.55,
150,Europe,2019,Land area (thousand hectares),"2,213,501",
150,Europe,2019,Arable land (thousand hectares),"273,371",
150,Europe,2019,Permanent crops (thousand hectares),"15,424",
150,Europe,2019,Forest cover (thousand hectares),"1,017,239",
150,Europe,2019,Arable land (% of total land area),12.4,
150,Europe,2019,Permanent crops (% of total land area),0.7,
150,Europe,2019,Forest cover (% of total land area),46,
150,Europe,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),67.22,
150,Europe,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),67.23,
151,Eastern Europe,2005,Land area (thousand hectares),"1,805,641",
151,Eastern Europe,2005,Arable land (thousand hectares),"194,611",
151,Eastern Europe,2005,Permanent crops (thousand hectares),"4,468",
151,Eastern Europe,2005,Forest cover (thousand hectares),"856,273",
151,Eastern Europe,2005,Arable land (% of total land area),10.8,
151,Eastern Europe,2005,Permanent crops (% of total land area),0.2,
151,Eastern Europe,2005,Forest cover (% of total land area),47.4,
151,Eastern Europe,2010,Land area (thousand hectares),"1,805,268",
151,Eastern Europe,2010,Arable land (thousand hectares),"192,967",
151,Eastern Europe,2010,Permanent crops (thousand hectares),"4,381",
151,Eastern Europe,2010,Forest cover (thousand hectares),"859,891",
151,Eastern Europe,2010,Arable land (% of total land area),10.7,
151,Eastern Europe,2010,Permanent crops (% of total land area),0.2,
151,Eastern Europe,2010,Forest cover (% of total land area),47.6,
151,Eastern Europe,2019,Land area (thousand hectares),"1,805,342",
151,Eastern Europe,2019,Arable land (thousand hectares),"193,623",
151,Eastern Europe,2019,Permanent crops (thousand hectares),"4,126",
151,Eastern Europe,2019,Forest cover (thousand hectares),"861,071",
151,Eastern Europe,2019,Arable land (% of total land area),10.7,
151,Eastern Europe,2019,Permanent crops (% of total land area),0.2,
151,Eastern Europe,2019,Forest cover (% of total land area),47.7,
154,Northern Europe,2005,Land area (thousand hectares),"169,770",
154,Northern Europe,2005,Arable land (thousand hectares),"18,775",
154,Northern Europe,2005,Permanent crops (thousand hectares),133,
154,Northern Europe,2005,Forest cover (thousand hectares),"74,561",
154,Northern Europe,2005,Arable land (% of total land area),11.1,
154,Northern Europe,2005,Permanent crops (% of total land area),0.1,
154,Northern Europe,2005,Forest cover (% of total land area),43.9,
154,Northern Europe,2010,Land area (thousand hectares),"169,701",
154,Northern Europe,2010,Arable land (thousand hectares),"18,630",
154,Northern Europe,2010,Permanent crops (thousand hectares),109,
154,Northern Europe,2010,Forest cover (thousand hectares),"74,710",
154,Northern Europe,2010,Arable land (% of total land area),11,
154,Northern Europe,2010,Permanent crops (% of total land area),0.1,
154,Northern Europe,2010,Forest cover (% of total land area),44,
154,Northern Europe,2019,Land area (thousand hectares),"169,844",
154,Northern Europe,2019,Arable land (thousand hectares),"18,882",
154,Northern Europe,2019,Permanent crops (thousand hectares),133,
154,Northern Europe,2019,Forest cover (thousand hectares),"75,249",
154,Northern Europe,2019,Arable land (% of total land area),11.1,
154,Northern Europe,2019,Permanent crops (% of total land area),0.1,
154,Northern Europe,2019,Forest cover (% of total land area),44.3,
39,Southern Europe,2005,Land area (thousand hectares),"129,817",
39,Southern Europe,2005,Arable land (thousand hectares),"31,212",
39,Southern Europe,2005,Permanent crops (thousand hectares),"10,045",
39,Southern Europe,2005,Forest cover (thousand hectares),"43,850",
39,Southern Europe,2005,Arable land (% of total land area),24,
39,Southern Europe,2005,Permanent crops (% of total land area),7.7,
39,Southern Europe,2005,Forest cover (% of total land area),33.8,
39,Southern Europe,2010,Land area (thousand hectares),"129,792",
39,Southern Europe,2010,Arable land (thousand hectares),"29,255",
39,Southern Europe,2010,Permanent crops (thousand hectares),"9,685",
39,Southern Europe,2010,Forest cover (thousand hectares),"45,297",
39,Southern Europe,2010,Arable land (% of total land area),22.5,
39,Southern Europe,2010,Permanent crops (% of total land area),7.5,
39,Southern Europe,2010,Forest cover (% of total land area),34.9,
39,Southern Europe,2019,Land area (thousand hectares),"129,748",
39,Southern Europe,2019,Arable land (thousand hectares),"27,430",
39,Southern Europe,2019,Permanent crops (thousand hectares),"9,800",
39,Southern Europe,2019,Forest cover (thousand hectares),"46,015",
39,Southern Europe,2019,Arable land (% of total land area),21.1,
39,Southern Europe,2019,Permanent crops (% of total land area),7.6,
39,Southern Europe,2019,Forest cover (% of total land area),35.5,
155,Western Europe,2005,Land area (thousand hectares),"108,513",
155,Western Europe,2005,Arable land (thousand hectares),"34,085",
155,Western Europe,2005,Permanent crops (thousand hectares),"1,453",
155,Western Europe,2005,Forest cover (thousand hectares),"33,441",
155,Western Europe,2005,Arable land (% of total land area),31.4,
155,Western Europe,2005,Permanent crops (% of total land area),1.3,
155,Western Europe,2005,Forest cover (% of total land area),30.8,
155,Western Europe,2010,Land area (thousand hectares),"108,491",
155,Western Europe,2010,Arable land (thousand hectares),"33,836",
155,Western Europe,2010,Permanent crops (thousand hectares),"1,359",
155,Western Europe,2010,Forest cover (thousand hectares),"34,085",
155,Western Europe,2010,Arable land (% of total land area),31.2,
155,Western Europe,2010,Permanent crops (% of total land area),1.3,
155,Western Europe,2010,Forest cover (% of total land area),31.4,
155,Western Europe,2019,Land area (thousand hectares),"108,567",
155,Western Europe,2019,Arable land (thousand hectares),"33,435",
155,Western Europe,2019,Permanent crops (thousand hectares),"1,365",
155,Western Europe,2019,Forest cover (thousand hectares),"34,903",
155,Western Europe,2019,Arable land (% of total land area),30.8,
155,Western Europe,2019,Permanent crops (% of total land area),1.3,
155,Western Europe,2019,Forest cover (% of total land area),32.1,
9,Oceania,2005,Land area (thousand hectares),"848,636",
9,Oceania,2005,Arable land (thousand hectares),"27,326",
9,Oceania,2005,Permanent crops (thousand hectares),"1,420",
9,Oceania,2005,Forest cover (thousand hectares),"182,172",
9,Oceania,2005,Arable land (% of total land area),3.2,
9,Oceania,2005,Permanent crops (% of total land area),0.2,
9,Oceania,2005,Forest cover (% of total land area),21.5,
9,Oceania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.51,
9,Oceania,2010,Land area (thousand hectares),"848,636",
9,Oceania,2010,Arable land (thousand hectares),"26,505",
9,Oceania,2010,Permanent crops (thousand hectares),"1,720",
9,Oceania,2010,Forest cover (thousand hectares),"181,015",
9,Oceania,2010,Arable land (% of total land area),3.1,
9,Oceania,2010,Permanent crops (% of total land area),0.2,
9,Oceania,2010,Forest cover (% of total land area),21.3,
9,Oceania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.23,
9,Oceania,2019,Land area (thousand hectares),"849,608",
9,Oceania,2019,Arable land (thousand hectares),"31,699",
9,Oceania,2019,Permanent crops (thousand hectares),"1,565",
9,Oceania,2019,Forest cover (thousand hectares),"185,249",
9,Oceania,2019,Arable land (% of total land area),3.7,
9,Oceania,2019,Permanent crops (% of total land area),0.2,
9,Oceania,2019,Forest cover (% of total land area),21.8,
9,Oceania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),35.33,
9,Oceania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),35.33,
53,Australia and New Zealand,2005,Land area (thousand hectares),"794,565",
53,Australia and New Zealand,2005,Arable land (thousand hectares),"26,827",
53,Australia and New Zealand,2005,Permanent crops (thousand hectares),403,
53,Australia and New Zealand,2005,Forest cover (thousand hectares),"140,530",
53,Australia and New Zealand,2005,Arable land (% of total land area),3.4,
53,Australia and New Zealand,2005,Permanent crops (% of total land area),0.1,
53,Australia and New Zealand,2005,Forest cover (% of total land area),17.7,
53,Australia and New Zealand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.25,
53,Australia and New Zealand,2010,Land area (thousand hectares),"794,565",
53,Australia and New Zealand,2010,Arable land (thousand hectares),"25,949",
53,Australia and New Zealand,2010,Permanent crops (thousand hectares),589,
53,Australia and New Zealand,2010,Forest cover (thousand hectares),"139,395",
53,Australia and New Zealand,2010,Arable land (% of total land area),3.3,
53,Australia and New Zealand,2010,Permanent crops (% of total land area),0.1,
53,Australia and New Zealand,2010,Forest cover (% of total land area),17.5,
53,Australia and New Zealand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),46.09,
53,Australia and New Zealand,2019,Land area (thousand hectares),"795,537",
53,Australia and New Zealand,2019,Arable land (thousand hectares),"31,119",
53,Australia and New Zealand,2019,Permanent crops (thousand hectares),421,
53,Australia and New Zealand,2019,Forest cover (thousand hectares),"143,871",
53,Australia and New Zealand,2019,Arable land (% of total land area),3.9,
53,Australia and New Zealand,2019,Permanent crops (% of total land area),0.1,
53,Australia and New Zealand,2019,Forest cover (% of total land area),18.1,
53,Australia and New Zealand,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),54.2,
